"id","modal_type","modal_id","property_id","parameter_id","value","created_at","updated_at"
"374","App\Models\Property","8","0","9","1221","2024-03-24 13:54:37","2024-06-28 12:13:25"
"375","App\Models\Property","8","0","10","101","2024-03-24 13:54:37","2024-06-28 12:13:25"
"376","App\Models\Property","8","0","12","Tây","2024-03-24 13:54:37","2024-06-28 12:13:25"
"377","App\Models\Property","8","0","13","Giấy tay","2024-03-24 13:54:37","2024-06-28 12:13:25"
"378","App\Models\Property","8","0","15","1500","2024-03-24 13:54:37","2024-06-28 12:13:25"
"379","App\Models\Property","8","0","16","3666666.6666666665","2024-03-24 13:54:37","2024-07-03 12:46:39"
"380","App\Models\Property","8","0","17","Có","2024-03-24 13:54:37","2024-03-24 13:54:37"
"381","App\Models\Property","8","0","18","121","2024-03-24 13:54:37","2024-06-28 12:13:25"
"382","App\Models\Property","8","0","19","111","2024-03-24 13:54:37","2024-06-28 12:13:25"
"383","App\Models\Property","7","0","9","150","2024-03-24 13:59:05","2024-03-24 13:59:05"
"384","App\Models\Property","7","0","10","100","2024-03-24 13:59:05","2024-03-24 13:59:05"
"385","App\Models\Property","7","0","12","Tây Nam","2024-03-24 13:59:05","2024-03-24 13:59:05"
"386","App\Models\Property","7","0","13","Sổ phân quyền xây dựng","2024-03-24 13:59:05","2024-03-24 13:59:05"
"387","App\Models\Property","7","0","15","100","2024-03-24 13:59:05","2024-03-24 13:59:05"
"388","App\Models\Property","7","0","16","150000000.0","2024-03-24 13:59:05","2024-07-12 09:29:09"
