"id","property_id","facility_id","distance","created_at","updated_at"
"153","3","3","1","2024-03-24 13:59:45","2024-03-24 13:59:45"
"154","3","4","2","2024-03-24 13:59:45","2024-03-24 13:59:45"
"155","3","8","1","2024-03-24 13:59:45","2024-03-24 13:59:45"
"156","3","10","1","2024-03-24 13:59:45","2024-03-24 13:59:45"
"157","3","13","1","2024-03-24 13:59:45","2024-03-24 13:59:45"
"158","3","14","1","2024-03-24 13:59:45","2024-03-24 13:59:45"
"187","30","8","3","2024-05-01 07:32:28","2024-05-01 07:32:28"
"188","30","9","4","2024-05-01 07:32:28","2024-05-01 07:32:28"
"189","30","6","5","2024-05-01 07:32:28","2024-05-01 07:32:28"
"212","31","8","1","2024-05-18 08:10:30","2024-05-18 08:10:30"
