"id","name","image","created_at","updated_at"
"1","Tiện ích thể thao","1693546964.4626.svg","2023-09-01 05:42:44","2023-09-01 05:42:44"
"2","Trung tâm mua sắm","1693546994.9064.svg","2023-09-01 05:43:14","2023-09-01 05:43:14"
"3","Nhà hàng","1693547011.8515.svg","2023-09-01 05:43:31","2023-09-01 05:43:31"
"4","Bưu điện","1693547055.694.svg","2023-09-01 05:44:15","2023-09-01 05:44:15"
"5","Công an","1693547085.8305.svg","2023-09-01 05:44:45","2023-09-01 05:44:45"
"6","Nhà thuốc","1693547105.3444.svg","2023-09-01 05:45:05","2023-09-01 05:45:05"
"7","Thú y","1693547137.6827.svg","2023-09-01 05:45:37","2023-09-01 05:45:37"
"8","Thư viện","1693547160.71.svg","2023-09-01 05:46:00","2023-09-01 05:46:00"
"9","Phòng gym","1693547177.252.svg","2023-09-01 05:46:17","2023-09-01 05:46:17"
"10","Tạp hóa","1693547216.5585.svg","2023-09-01 05:46:56","2023-09-01 05:46:56"
"11","Nhà ga","1693547235.0645.svg","2023-09-01 05:47:15","2023-09-01 05:47:15"
"12","Công viên","1693547255.8654.svg","2023-09-01 05:47:35","2023-09-01 05:47:35"
"13","Nhà trẻ","1693547269.6337.svg","2023-09-01 05:47:49","2023-09-01 05:47:49"
"14","Trạm xe buýt","1693547289.7189.svg","2023-09-01 05:48:09","2023-09-01 05:48:09"
"15","Trạm ATM","1693547306.9935.svg","2023-09-01 05:48:26","2023-09-01 05:48:26"
"16","Bệnh viện","1693547322.9905.svg","2023-09-01 05:48:42","2023-09-01 05:48:42"
"17","Trường học","1693547346.7776.svg","2023-09-01 05:49:06","2023-09-01 05:49:06"
